,ACCIDENT_NO,ACCIDENTDATE
25139,T20170017671,2017-08-23
25140,T20170017672,2017-08-28
25141,T20170017673,2017-09-14
25142,T20170017674,2017-09-12
25143,T20170017675,2017-09-14
25144,T20170017676,2017-09-14
25145,T20170017677,2017-09-02
25146,T20170017678,2017-09-14
25147,T20170017679,2017-09-14
25148,T20170017682,2017-09-14
25149,T20170017686,2017-09-05
25150,T20170017687,2017-09-14
25151,T20170017689,2017-09-14
25152,T20170017691,2017-09-14
25153,T20170017692,2017-09-14
25154,T20170017694,2017-09-14
25155,T20170017697,2017-09-14
25156,T20170017698,2017-09-14
25157,T20170017702,2017-09-14
25158,T20170017706,2017-09-14
25159,T20170017709,2017-09-12
25160,T20170017711,2017-09-14
25161,T20170017713,2017-08-26
25162,T20170017716,2017-09-15
25163,T20170017717,2017-08-25
25164,T20170017718,2017-09-15
25165,T20170017721,2017-09-14
25166,T20170017726,2017-07-24
25167,T20170017730,2017-09-15
25168,T20170017731,2017-09-15
25169,T20170017737,2017-09-15
25170,T20170017739,2017-09-15
25171,T20170017740,2017-09-08
25172,T20170017745,2017-09-15
25173,T20170017749,2017-09-15
25174,T20170017751,2017-09-15
25175,T20170017752,2017-09-15
25176,T20170017753,2017-09-15
25177,T20170017757,2017-09-15
25178,T20170017762,2017-09-15
25179,T20170017763,2017-09-15
25180,T20170017764,2017-09-15
25181,T20170017765,2017-09-07
25182,T20170017770,2017-09-15
25183,T20170017771,2017-09-16
25184,T20170017772,2017-09-15
25185,T20170017774,2017-09-15
25186,T20170017777,2017-09-14
25187,T20170017779,2017-09-16
25188,T20170017780,2017-09-12
25189,T20170017783,2017-09-13
25190,T20170017784,2017-09-15
25191,T20170017785,2017-01-12
25192,T20170017787,2017-09-15
25193,T20170017788,2017-09-16
25194,T20170017790,2017-09-16
25195,T20170017794,2017-09-16
25196,T20170017797,2017-09-16
25197,T20170017799,2017-09-14
25198,T20170017801,2017-09-16
25199,T20170017804,2017-09-16
25200,T20170017806,2017-09-16
25201,T20170017807,2017-08-22
25202,T20170017808,2017-09-16
25203,T20170017811,2017-09-16
25204,T20170017813,2017-09-16
25205,T20170017814,2017-09-16
25206,T20170017819,2017-09-16
25207,T20170017820,2017-09-16
25208,T20170017822,2017-09-16
25209,T20170017825,2017-09-15
25210,T20170017832,2017-09-17
25211,T20170017833,2017-09-16
25212,T20170017835,2017-09-16
25213,T20170017837,2017-09-14
25214,T20170017838,2017-09-17
25215,T20170017839,2017-09-17
25216,T20170017843,2017-09-16
25217,T20170017844,2017-09-09
25218,T20170017845,2017-09-17
25219,T20170017846,2017-09-17
25220,T20170017847,2017-09-16
25221,T20170017848,2017-09-16
25222,T20170017849,2017-04-06
25223,T20170017850,2017-09-15
25224,T20170017853,2017-09-17
25225,T20170017855,2017-09-16
25226,T20170017856,2017-09-17
25227,T20170017857,2017-09-17
25228,T20170017859,2017-09-17
25229,T20170017860,2017-09-17
25230,T20170017861,2017-09-17
25231,T20170017862,2017-09-11
25232,T20170017865,2017-09-16
25233,T20170017867,2017-09-16
25234,T20170017868,2017-09-16
25235,T20170017872,2017-09-17
25236,T20170017873,2017-09-17
25237,T20170017874,2017-07-05
25238,T20170017876,2017-09-17
25239,T20170017878,2017-09-09
25240,T20170017882,2017-09-17
25241,T20170017885,2017-09-17
25242,T20170017886,2017-09-17
25243,T20170017887,2017-09-17
25244,T20170017888,2017-09-17
25245,T20170017890,2017-09-17
25246,T20170017891,2017-09-16
25247,T20170017893,2017-09-17
25248,T20170017895,2017-09-17
25249,T20170017896,2017-09-17
25250,T20170017898,2017-09-17
25251,T20170017899,2017-09-18
25252,T20170017901,2017-09-18
25253,T20170017902,2017-09-06
25254,T20170017903,2017-09-12
25255,T20170017905,2017-09-17
25256,T20170017906,2017-09-18
25257,T20170017907,2017-09-13
25258,T20170017910,2017-09-18
25259,T20170017913,2017-09-17
25260,T20170017914,2017-09-18
25261,T20170017915,2017-09-18
25262,T20170017918,2017-09-18
25263,T20170017919,2017-09-18
25264,T20170017920,2017-09-17
25265,T20170017923,2017-08-10
25266,T20170017924,2017-09-18
25267,T20170017925,2017-09-18
25268,T20170017926,2017-09-18
25269,T20170017927,2017-09-17
25270,T20170017928,2017-09-18
25271,T20170017929,2017-09-18
25272,T20170017930,2017-09-18
25273,T20170017931,2017-09-18
25274,T20170017932,2017-09-18
25275,T20170017933,2017-09-18
25276,T20170017935,2017-09-18
25277,T20170017937,2017-09-18
25278,T20170017938,2017-09-07
25279,T20170017939,2017-09-18
25280,T20170017941,2017-09-18
25281,T20170017946,2017-09-19
25282,T20170017947,2017-09-18
25283,T20170017948,2017-09-19
25284,T20170017952,2017-09-19
25285,T20170017955,2017-09-19
25286,T20170017956,2017-09-19
25287,T20170017960,2017-09-19
25288,T20170017963,2017-09-19
25289,T20170017964,2017-09-19
25290,T20170017967,2017-09-17
25291,T20170017968,2017-09-19
25292,T20170017969,2017-09-19
25293,T20170017971,2017-09-19
25294,T20170017974,2017-09-19
25295,T20170017975,2017-09-18
25296,T20170017979,2017-05-09
25297,T20170017980,2017-09-19
25298,T20170017984,2017-09-19
25299,T20170017985,2017-05-05
25300,T20170017987,2017-09-19
25301,T20170017989,2017-09-14
25302,T20170017991,2017-09-19
25303,T20170017992,2017-09-19
25304,T20170017994,2017-09-19
25305,T20170017995,2017-05-31
25306,T20170017996,2017-09-19
25307,T20170017999,2017-09-19
25308,T20170018000,2017-08-17
25309,T20170018001,2017-09-19
25310,T20170018003,2017-09-19
25311,T20170018004,2017-09-19
25312,T20170018007,2017-09-19
25313,T20170018008,2017-09-20
25314,T20170018010,2017-09-20
25315,T20170018011,2017-09-20
25316,T20170018013,2017-09-19
25317,T20170018015,2017-09-08
25318,T20170018016,2017-09-20
25319,T20170018017,2017-09-18
25320,T20170018018,2017-09-20
25321,T20170018019,2017-09-20
25322,T20170018020,2017-09-20
25323,T20170018021,2017-09-20
25324,T20170018022,2017-09-09
25325,T20170018028,2017-09-20
25326,T20170018030,2017-09-20
25327,T20170018031,2017-09-20
25328,T20170018033,2017-09-20
25329,T20170018034,2017-09-20
25330,T20170018035,2017-09-18
25331,T20170018036,2017-09-20
25332,T20170018037,2017-09-20
25333,T20170018039,2017-09-20
25334,T20170018047,2017-09-20
25335,T20170018049,2017-09-20
25336,T20170018050,2017-09-20
25337,T20170018051,2017-09-20
25338,T20170018052,2017-09-20
25339,T20170018054,2017-09-19
25340,T20170018056,2017-09-20
25341,T20170018057,2017-09-20
25342,T20170018059,2017-09-20
25343,T20170018060,2017-09-20
25344,T20170018062,2017-09-20
25345,T20170018063,2017-09-20
25346,T20170018066,2017-09-20
25347,T20170018067,2017-09-20
25348,T20170018068,2017-09-20
25349,T20170018071,2017-09-20
25350,T20170018073,2017-09-20
25351,T20170018078,2017-09-20
25352,T20170018079,2017-09-20
25353,T20170018080,2017-09-20
25354,T20170018081,2017-09-20
25355,T20170018083,2017-09-20
25356,T20170018084,2017-09-20
25357,T20170018089,2017-09-21
25358,T20170018090,2017-09-20
25359,T20170018091,2017-09-20
25360,T20170018092,2017-08-21
25361,T20170018093,2017-09-20
25362,T20170018098,2017-09-20
25363,T20170018099,2017-09-21
25364,T20170018100,2017-09-21
25365,T20170018104,2017-09-21
25366,T20170018107,2017-09-16
25367,T20170018108,2017-09-20
25368,T20170018111,2016-12-16
25369,T20170018113,2017-09-21
25370,T20170018116,2017-09-21
25371,T20170018117,2017-09-14
25372,T20170018118,2017-09-21
25373,T20170018120,2017-09-20
25374,T20170018122,2017-09-20
25375,T20170018123,2017-09-11
25376,T20170018126,2017-09-21
25377,T20170018127,2017-09-20
25378,T20170018132,2017-09-21
25379,T20170018133,2017-09-21
25380,T20170018138,2017-09-07
25381,T20170018140,2017-09-21
25382,T20170018142,2017-09-21
25383,T20170018144,2017-09-21
25384,T20170018146,2017-09-21
25385,T20170018147,2017-09-21
25386,T20170018150,2017-09-21
25387,T20170018152,2017-09-21
25388,T20170018154,2017-09-21
25389,T20170018155,2017-09-21
25390,T20170018159,2017-09-21
25391,T20170018160,2017-09-21
25392,T20170018162,2017-09-22
25393,T20170018163,2017-09-22
25394,T20170018164,2017-09-22
25395,T20170018165,2017-09-21
25396,T20170018166,2017-09-22
25397,T20170018168,2017-09-22
25398,T20170018170,2017-09-21
25399,T20170018171,2017-09-21
25400,T20170018172,2017-09-22
25401,T20170018173,2017-09-19
25402,T20170018174,2017-09-22
25403,T20170018177,2017-09-17
25404,T20170018179,2017-09-22
25405,T20170018180,2017-09-18
25406,T20170018184,2017-09-22
25407,T20170018185,2017-09-17
25408,T20170018188,2016-11-11
25409,T20170018192,2017-09-22
25410,T20170018193,2017-09-22
25411,T20170018194,2017-09-13
25412,T20170018196,2017-09-22
25413,T20170018201,2017-09-21
25414,T20170018203,2017-09-22
25415,T20170018205,2017-09-22
25416,T20170018206,2017-09-22
25417,T20170018207,2017-09-22
25418,T20170018208,2017-09-22
25419,T20170018210,2017-09-22
25420,T20170018211,2017-09-22
25421,T20170018212,2017-09-22
25422,T20170018215,2017-09-22
25423,T20170018219,2017-09-22
25424,T20170018224,2017-09-22
25425,T20170018226,2017-09-22
25426,T20170018227,2017-09-22
25427,T20170018228,2017-09-20
25428,T20170018231,2017-09-23
25429,T20170018232,2017-09-23
25430,T20170018233,2017-09-22
25431,T20170018237,2017-09-05
25432,T20170018238,2017-09-23
25433,T20170018242,2017-09-23
25434,T20170018243,2017-09-12
25435,T20170018245,2017-09-23
25436,T20170018248,2017-09-23
25437,T20170018249,2017-09-23
25438,T20170018252,2017-09-23
25439,T20170018254,2017-09-22
25440,T20170018258,2017-09-23
25441,T20170018260,2017-09-23
25442,T20170018261,2017-09-23
25443,T20170018262,2017-09-22
25444,T20170018263,2017-09-23
25445,T20170018264,2017-09-22
25446,T20170018266,2017-09-23
25447,T20170018271,2017-09-23
25448,T20170018273,2017-09-21
25449,T20170018274,2017-09-22
25450,T20170018275,2017-09-22
25451,T20170018280,2017-09-23
25452,T20170018281,2017-09-23
25453,T20170018283,2017-09-23
25454,T20170018284,2017-09-23
25455,T20170018286,2017-09-23
25456,T20170018288,2017-09-23
25457,T20170018294,2017-09-15
25458,T20170018295,2017-09-24
25459,T20170018296,2017-09-24
25460,T20170018298,2017-09-24
25461,T20170018300,2017-09-23
25462,T20170018301,2017-09-24
25463,T20170018302,2017-09-24
25464,T20170018303,2017-09-23
25465,T20170018305,2017-09-23
25466,T20170018306,2017-09-08
25467,T20170018308,2017-09-24
25468,T20170018310,2017-08-30
25469,T20170018312,2017-09-24
25470,T20170018313,2017-09-23
25471,T20170018317,2017-09-23
25472,T20170018318,2017-09-24
25473,T20170018321,2017-09-23
25474,T20170018324,2017-09-24
25475,T20170018325,2017-09-24
25476,T20170018326,2017-09-24
25477,T20170018327,2017-09-24
25478,T20170018330,2017-09-24
25479,T20170018332,2017-09-23
25480,T20170018334,2017-09-24
25481,T20170018336,2017-09-20
25482,T20170018338,2017-09-24
25483,T20170018339,2017-09-24
25484,T20170018341,2017-07-05
25485,T20170018343,2017-02-28
25486,T20170018344,2017-08-30
25487,T20170018346,2017-09-24
25488,T20170018348,2017-09-25
25489,T20170018351,2017-09-25
25490,T20170018352,2017-09-25
25491,T20170018353,2017-09-25
25492,T20170018358,2017-09-24
25493,T20170018359,2017-09-25
25494,T20170018361,2017-09-25
25495,T20170018363,2017-09-12
25496,T20170018364,2017-09-25
25497,T20170018365,2017-09-25
25498,T20170018366,2017-09-25
25499,T20170018367,2017-09-22
25500,T20170018368,2017-09-24
25501,T20170018369,2017-09-25
25502,T20170018371,2017-09-25
25503,T20170018372,2017-09-17
25504,T20170018373,2017-09-25
25505,T20170018376,2017-09-25
25506,T20170018379,2017-09-25
25507,T20170018381,2017-09-25
25508,T20170018383,2017-09-25
25509,T20170018384,2017-09-25
25510,T20170018385,2017-09-25
25511,T20170018386,2017-09-25
25512,T20170018388,2017-09-13
25513,T20170018391,2017-09-25
25514,T20170018392,2017-09-25
25515,T20170018393,2017-09-25
25516,T20170018396,2017-09-25
25517,T20170018397,2017-09-20
25518,T20170018398,2017-09-25
25519,T20170018400,2017-09-25
25520,T20170018404,2017-09-26
25521,T20170018407,2017-09-26
25522,T20170018410,2017-09-26
25523,T20170018411,2017-09-20
25524,T20170018413,2017-09-26
25525,T20170018414,2017-09-25
25526,T20170018417,2017-09-26
25527,T20170018418,2017-07-05
25528,T20170018419,2017-09-26
25529,T20170018420,2017-09-15
25530,T20170018423,2017-09-25
25531,T20170018426,2017-09-26
25532,T20170018429,2017-09-26
25533,T20170018431,2017-04-26
25534,T20170018432,2017-09-26
25535,T20170018436,2017-09-26
25536,T20170018442,2017-09-26
25537,T20170018443,2017-09-26
25538,T20170018444,2017-09-26
25539,T20170018446,2017-09-26
25540,T20170018449,2017-09-26
25541,T20170018450,2017-09-26
25542,T20170018455,2017-09-26
25543,T20170018456,2017-09-26
25544,T20170018458,2017-09-26
25545,T20170018459,2017-09-23
25546,T20170018464,2017-09-26
25547,T20170018465,2017-09-27
25548,T20170018469,2017-09-27
25549,T20170018470,2017-09-27
25550,T20170018471,2017-09-27
25551,T20170018474,2017-09-27
25552,T20170018475,2017-09-26
25553,T20170018476,2017-09-26
25554,T20170018477,2017-09-27
25555,T20170018478,2017-09-26
25556,T20170018480,2017-09-27
25557,T20170018481,2017-09-27
25558,T20170018482,2017-09-27
25559,T20170018483,2017-09-21
25560,T20170018484,2017-09-23
25561,T20170018486,2017-09-27
25562,T20170018488,2017-09-17
25563,T20170018489,2016-08-01
25564,T20170018491,2017-09-01
25565,T20170018493,2017-09-27
25566,T20170018494,2017-09-27
25567,T20170018495,2017-09-27
25568,T20170018496,2017-09-27
25569,T20170018497,2017-09-27
25570,T20170018498,2017-09-27
25571,T20170018499,2017-09-27
25572,T20170018500,2017-09-27
25573,T20170018501,2017-09-27
25574,T20170018503,2017-09-27
25575,T20170018505,2017-09-27
25576,T20170018506,2017-09-27
25577,T20170018507,2017-09-27
25578,T20170018508,2017-09-27
25579,T20170018509,2017-09-27
25580,T20170018510,2017-09-27
25581,T20170018511,2017-09-27
25582,T20170018512,2017-09-27
25583,T20170018513,2017-09-27
25584,T20170018514,2017-09-27
25585,T20170018516,2017-09-27
25586,T20170018517,2017-09-27
25587,T20170018518,2017-09-27
25588,T20170018521,2017-09-28
25589,T20170018522,2017-09-26
25590,T20170018524,2017-09-27
25591,T20170018526,2017-09-27
25592,T20170018528,2017-09-27
25593,T20170018530,2017-09-24
25594,T20170018533,2017-09-26
25595,T20170018535,2017-09-22
25596,T20170018536,2017-09-28
25597,T20170018539,2017-09-28
25598,T20170018540,2017-09-28
25599,T20170018542,2017-09-28
25600,T20170018544,2017-09-28
25601,T20170018546,2017-09-28
25602,T20170018547,2017-09-28
25603,T20170018550,2017-09-28
25604,T20170018551,2017-09-28
25605,T20170018553,2017-09-28
25606,T20170018556,2017-09-28
25607,T20170018558,2017-09-28
25608,T20170018559,2017-09-28
25609,T20170018566,2017-09-11
25610,T20170018567,2017-09-28
25611,T20170018568,2017-09-27
25612,T20170018569,2017-09-28
25613,T20170018572,2017-09-28
25614,T20170018573,2017-09-28
25615,T20170018575,2017-09-28
25616,T20170018577,2017-09-28
25617,T20170018579,2017-09-28
25618,T20170018580,2017-09-25
25619,T20170018581,2017-09-28
25620,T20170018583,2017-09-28
25621,T20170018585,2017-09-28
25622,T20170018586,2017-09-28
25623,T20170018587,2017-09-28
25624,T20170018588,2017-09-28
25625,T20170018592,2017-09-28
25626,T20170018593,2017-09-28
25627,T20170018594,2017-09-22
25628,T20170018595,2017-09-28
25629,T20170018599,2017-09-29
25630,T20170018600,2017-09-29
25631,T20170018603,2017-09-29
25632,T20170018607,2017-09-27
25633,T20170018610,2017-09-29
25634,T20170018612,2017-09-29
25635,T20170018613,2017-09-29
25636,T20170018620,2017-09-29
25637,T20170018621,2017-09-29
25638,T20170018622,2017-09-16
25639,T20170018623,2017-09-29
25640,T20170018624,2017-09-29
25641,T20170018626,2017-09-29
25642,T20170018628,2017-09-29
25643,T20170018630,2017-09-29
25644,T20170018632,2017-09-29
25645,T20170018633,2017-09-28
25646,T20170018634,2017-09-29
25647,T20170018637,2017-08-31
25648,T20170018642,2017-09-29
25649,T20170018645,2017-09-27
25650,T20170018646,2017-09-29
25651,T20170018649,2017-09-29
25652,T20170018652,2017-09-30
25653,T20170018656,2017-09-28
25654,T20170018660,2017-09-30
25655,T20170018665,2017-09-30
25656,T20170018667,2017-09-30
25657,T20170018672,2017-09-20
25658,T20170018673,2017-09-30
25659,T20170018674,2017-09-29
25660,T20170018675,2017-09-30
25661,T20170018677,2017-09-30
25662,T20170018679,2017-09-30
25663,T20170018680,2017-09-30
25664,T20170018688,2017-09-30
25665,T20170018691,2017-09-30
25666,T20170018693,2017-09-30
25667,T20170018695,2017-09-30
25668,T20170018698,2017-09-30
25669,T20170018699,2017-10-01
25670,T20170018700,2017-10-01
25671,T20170018702,2017-10-01
25672,T20170018703,2017-09-30
25673,T20170018704,2017-10-01
25674,T20170018705,2017-10-01
25675,T20170018707,2017-10-01
25676,T20170018708,2017-10-01
25677,T20170018709,2017-10-01
25678,T20170018710,2017-10-01
25679,T20170018711,2017-10-01
25680,T20170018715,2017-10-01
25681,T20170018716,2017-10-01
25682,T20170018717,2017-10-01
25683,T20170018719,2017-10-01
25684,T20170018720,2017-08-29
25685,T20170018721,2017-10-01
25686,T20170018724,2017-10-01
25687,T20170018725,2017-09-30
25688,T20170018726,2017-10-01
25689,T20170018727,2017-10-01
25690,T20170018728,2017-10-01
25691,T20170018730,2017-10-01
25692,T20170018733,2017-10-01
25693,T20170018734,2017-10-01
25694,T20170018737,2017-10-02
25695,T20170018738,2017-10-02
25696,T20170018739,2017-10-01
25697,T20170018740,2017-10-02
25698,T20170018742,2017-10-02
25699,T20170018745,2017-09-02
25700,T20170018746,2017-09-23
25701,T20170018747,2017-10-02
25702,T20170018750,2017-10-02
25703,T20170018751,2017-10-01
25704,T20170018752,2017-10-01
25705,T20170018753,2017-10-02
25706,T20170018754,2017-10-01
25707,T20170018755,2017-10-02
25708,T20170018756,2017-09-30
25709,T20170018758,2017-10-02
25710,T20170018759,2017-08-07
25711,T20170018760,2017-09-14
25712,T20170018764,2017-09-28
25713,T20170018765,2017-10-02
25714,T20170018767,2017-10-02
25715,T20170018768,2017-10-02
25716,T20170018769,2017-10-02
25717,T20170018772,2017-10-02
25718,T20170018773,2017-10-02
25719,T20170018774,2017-10-01
25720,T20170018777,2017-10-02
25721,T20170018779,2017-10-01
25722,T20170018780,2017-10-02
25723,T20170018784,2017-10-02
25724,T20170018786,2017-10-01
25725,T20170018787,2017-10-02
25726,T20170018791,2017-10-02
25727,T20170018797,2017-10-02
25728,T20170018801,2017-10-02
25729,T20170018805,2017-10-03
25730,T20170018806,2017-10-02
25731,T20170018808,2017-10-03
25732,T20170018810,2017-10-02
25733,T20170018811,2017-09-26
25734,T20170018813,2017-09-15
25735,T20170018814,2017-10-03
25736,T20170018815,2017-10-02
25737,T20170018816,2017-10-03
25738,T20170018818,2017-10-03
25739,T20170018820,2017-10-03
25740,T20170018823,2017-10-03
25741,T20170018825,2017-10-03
25742,T20170018828,2017-10-03
25743,T20170018831,2017-10-03
25744,T20170018833,2017-10-03
25745,T20170018839,2017-10-03
25746,T20170018843,2017-10-03
25747,T20170018844,2017-09-01
25748,T20170018845,2017-10-03
25749,T20170018846,2017-10-03
25750,T20170018848,2017-10-03
25751,T20170018850,2017-10-03
25752,T20170018851,2017-10-03
25753,T20170018852,2017-10-03
25754,T20170018853,2017-10-03
25755,T20170018855,2017-10-03
25756,T20170018859,2017-10-03
25757,T20170018860,2017-10-03
25758,T20170018862,2017-10-04
25759,T20170018863,2017-10-03
25760,T20170018868,2017-10-04
25761,T20170018869,2017-10-04
25762,T20170018871,2017-10-04
25763,T20170018872,2017-08-15
25764,T20170018874,2017-09-26
25765,T20170018877,2017-10-03
25766,T20170018878,2017-10-04
25767,T20170018880,2017-09-21
25768,T20170018881,2017-10-04
25769,T20170018882,2017-10-04
25770,T20170018884,2017-10-04
25771,T20170018885,2017-10-04
25772,T20170018886,2017-10-04
25773,T20170018888,2017-10-04
25774,T20170018889,2017-10-03
25775,T20170018892,2017-10-04
25776,T20170018898,2017-10-04
25777,T20170018899,2017-10-04
25778,T20170018900,2017-10-03
25779,T20170018901,2017-10-04
25780,T20170018902,2017-10-04
25781,T20170018903,2017-10-04
25782,T20170018904,2017-10-04
25783,T20170018905,2017-10-03
25784,T20170018907,2017-10-04
25785,T20170018909,2017-10-04
25786,T20170018911,2017-10-04
25787,T20170018912,2017-01-14
25788,T20170018917,2017-10-04
25789,T20170018919,2017-10-04
25790,T20170018921,2017-10-04
25791,T20170018922,2017-10-04
25792,T20170018927,2017-10-04
25793,T20170018928,2017-10-04
25794,T20170018932,2017-10-04
25795,T20170018934,2017-10-04
25796,T20170018935,2017-10-04
25797,T20170018936,2017-10-04
25798,T20170018941,2017-10-05
25799,T20170018942,2017-10-05
25800,T20170018943,2017-10-04
25801,T20170018944,2017-10-05
25802,T20170018947,2017-09-21
25803,T20170018948,2017-09-05
25804,T20170018949,2017-10-04
25805,T20170018950,2017-09-30
25806,T20170018957,2017-09-07
25807,T20170018958,2017-10-05
25808,T20170018960,2017-10-05
25809,T20170018961,2017-08-10
25810,T20170018963,2017-10-05
25811,T20170018964,2017-10-05
25812,T20170018965,2017-10-05
25813,T20170018967,2017-10-05
25814,T20170018970,2017-10-05
25815,T20170018972,2017-10-05
25816,T20170018974,2017-10-05
25817,T20170018975,2017-09-20
25818,T20170018976,2017-10-05
25819,T20170018977,2017-10-05
25820,T20170018978,2017-10-02
25821,T20170018980,2017-10-05
25822,T20170018981,2017-10-05
25823,T20170018983,2017-10-05
25824,T20170018984,2017-10-03
25825,T20170018985,2017-10-05
25826,T20170018987,2017-10-05
25827,T20170018988,2017-09-26
25828,T20170018989,2017-10-05
25829,T20170018990,2017-10-05
25830,T20170018991,2017-10-05
25831,T20170018992,2017-10-05
25832,T20170019005,2017-10-05
25833,T20170019007,2017-10-06
25834,T20170019008,2017-10-06
25835,T20170019010,2017-09-27
25836,T20170019011,2017-10-06
25837,T20170019012,2017-10-06
25838,T20170019014,2017-10-05
25839,T20170019015,2017-10-06
25840,T20170019017,2017-10-06
25841,T20170019018,2017-10-06
25842,T20170019023,2017-10-03
25843,T20170019025,2017-10-03
25844,T20170019026,2017-10-06
25845,T20170019031,2017-10-06
25846,T20170019033,2017-10-06
25847,T20170019035,2017-10-06
25848,T20170019036,2017-10-06
25849,T20170019039,2017-10-06
25850,T20170019040,2017-10-06
25851,T20170019041,2017-10-06
25852,T20170019043,2017-10-06
25853,T20170019045,2017-10-06
25854,T20170019049,2017-10-06
25855,T20170019054,2017-10-06
25856,T20170019055,2017-10-06
25857,T20170019056,2017-10-06
25858,T20170019057,2017-10-06
25859,T20170019059,2017-10-06
25860,T20170019064,2017-10-07
25861,T20170019065,2017-10-05
25862,T20170019067,2017-10-07
25863,T20170019068,2017-10-07
25864,T20170019069,2017-10-04
25865,T20170019072,2017-10-04
25866,T20170019073,2017-10-05
25867,T20170019076,2017-10-05
25868,T20170019078,2017-05-13
25869,T20170019079,2017-10-02
25870,T20170019081,2017-10-07
25871,T20170019085,2017-10-07
25872,T20170019086,2017-10-07
25873,T20170019087,2017-10-07
25874,T20170019088,2017-10-07
25875,T20170019089,2017-10-07
25876,T20170019091,2017-10-06
25877,T20170019093,2017-10-05
25878,T20170019095,2017-10-04
25879,T20170019100,2017-10-06
25880,T20170019102,2017-10-07
25881,T20170019103,2017-10-07
25882,T20170019105,2017-10-07
25883,T20170019107,2017-10-07
25884,T20170019111,2017-10-03
25885,T20170019112,2017-10-07
25886,T20170019114,2017-10-07
25887,T20170019115,2017-10-07
25888,T20170019116,2017-10-07
25889,T20170019118,2017-10-07
25890,T20170019121,2017-10-07
25891,T20170019124,2017-10-07
25892,T20170019127,2017-10-07
25893,T20170019128,2017-10-08
25894,T20170019129,2017-09-08
25895,T20170019130,2017-10-08
25896,T20170019131,2017-10-04
25897,T20170019132,2017-10-08
25898,T20170019133,2017-10-07
25899,T20170019134,2017-10-07
25900,T20170019135,2017-10-08
25901,T20170019136,2017-10-08
25902,T20170019138,2017-10-07
25903,T20170019142,2017-10-08
25904,T20170019143,2017-10-06
25905,T20170019144,2017-10-08
25906,T20170019145,2017-10-07
25907,T20170019148,2017-10-08
25908,T20170019151,2017-10-08
25909,T20170019153,2017-10-06
25910,T20170019155,2017-10-08
25911,T20170019156,2017-10-08
25912,T20170019159,2017-10-08
25913,T20170019161,2017-10-08
25914,T20170019162,2017-10-08
25915,T20170019165,2017-10-08
25916,T20170019167,2017-10-08
25917,T20170019168,2017-10-08
25918,T20170019169,2017-10-08
25919,T20170019170,2017-10-08
25920,T20170019173,2017-10-08
25921,T20170019177,2017-10-08
25922,T20170019179,2017-10-08
25923,T20170019181,2017-10-08
25924,T20170019185,2017-10-09
25925,T20170019187,2017-10-07
25926,T20170019188,2017-10-09
25927,T20170019190,2017-08-29
25928,T20170019191,2017-10-09
25929,T20170019194,2017-10-01
25930,T20170019195,2017-09-22
25931,T20170019197,2017-10-09
25932,T20170019198,2017-10-09
25933,T20170019200,2017-10-09
25934,T20170019201,2017-10-08
25935,T20170019202,2017-10-09
25936,T20170019203,2017-10-01
25937,T20170019204,2017-10-09
25938,T20170019206,2017-10-09
25939,T20170019207,2017-10-09
25940,T20170019208,2017-10-09
25941,T20170019209,2017-10-05
25942,T20170019211,2017-10-09
25943,T20170019213,2017-10-09
25944,T20170019214,2017-10-09
25945,T20170019215,2017-10-09
25946,T20170019216,2017-10-09
25947,T20170019221,2017-10-09
25948,T20170019222,2017-10-09
25949,T20170019223,2017-10-09
25950,T20170019227,2017-10-07
25951,T20170019230,2017-10-09
25952,T20170019231,2017-10-06
25953,T20170019232,2017-10-09
25954,T20170019233,2017-10-09
25955,T20170019234,2017-10-09
25956,T20170019236,2017-10-09
25957,T20170019238,2017-10-09
25958,T20170019239,2017-10-09
25959,T20170019240,2017-10-05
25960,T20170019241,2017-10-09
25961,T20170019242,2016-10-31
25962,T20170019246,2017-10-09
25963,T20170019247,2017-10-09
25964,T20170019249,2017-10-09
25965,T20170019250,2017-10-09
25966,T20170019252,2017-10-09
25967,T20170019254,2017-09-01
25968,T20170019256,2017-10-09
25969,T20170019257,2017-10-10
25970,T20170019258,2017-10-10
25971,T20170019259,2017-10-10
25972,T20170019260,2017-10-09
25973,T20170019261,2017-10-06
25974,T20170019262,2017-09-23
25975,T20170019263,2017-10-10
25976,T20170019265,2017-10-10
25977,T20170019267,2017-10-07
25978,T20170019268,2017-09-25
25979,T20170019269,2017-10-10
25980,T20170019270,2017-10-10
25981,T20170019271,2017-10-10
25982,T20170019273,2017-10-10
25983,T20170019274,2017-10-10
25984,T20170019275,2017-10-06
25985,T20170019276,2017-10-10
25986,T20170019280,2017-10-10
25987,T20170019284,2017-10-10
25988,T20170019285,2017-10-10
25989,T20170019287,2017-10-10
25990,T20170019288,2017-10-10
25991,T20170019291,2017-10-10
25992,T20170019293,2017-10-10
25993,T20170019296,2017-10-09
25994,T20170019300,2017-10-10
25995,T20170019302,2017-09-24
25996,T20170019307,2017-10-10
25997,T20170019308,2017-10-10
25998,T20170019309,2017-10-10
25999,T20170019310,2017-10-10
26000,T20170019312,2017-10-10
26001,T20170019313,2017-10-10
26002,T20170019315,2017-10-10
26003,T20170019316,2017-10-10
26004,T20170019317,2017-10-10
26005,T20170019318,2017-10-10
26006,T20170019319,2017-10-10
26007,T20170019320,2017-10-03
26008,T20170019321,2017-10-10
26009,T20170019327,2017-10-07
26010,T20170019330,2017-10-11
26011,T20170019333,2017-10-11
